場所,キャッチコピー,説明
博多,伝統文化と最新の文化が融合。インスタ映えスポットも,歴史が紡いだ伝統文化と最新の文化が融合していく刺激的な街。楽水園やキャナルシティ博多など、楽しめるインスタ映えスポットが豊富です。また、神社仏閣の数は京都・奈良に次いで多く、ちょっとした空き時間でたくさんの神社仏閣を巡ることができます。
横浜,和漢洋の文化が混ざる街。子どもから大人まで楽しめる,日本・西洋・中国と、各国の文化が混ざりあい、おしゃれな港町としても人気の横浜。開港150年を越え、さらに活気があふれています。デートにぴったりなスポットはもちろん、世界大会規模のスポーツ施設やコンサート会場なども充実していた子どもから大人まで楽しめる街です。
別府温泉,旅館や繁華街が魅力。別府の温泉観光地,伊予国風土記に「速見の湯」と記され、江戸時代以降には本格的な温泉地となった「別府温泉」。市街地の海岸通りと流川通りの周辺にホテル旅館街があり、流川通りには銀天街などの繁華街がにぎわっています。市営の共同浴場・竹瓦温泉は唐破風造りの趣きがあり、古くから砂湯で知られています。
稲佐山,稲佐山から長崎の夜景をたっぷり満喫できる,長崎県長崎市の西方に位置する山で、標高333メートルと高くはないですが、東京タワーとほぼ同じ高さから長崎の美しい街並みを一望することができます。世界三大夜景に選ばれたこともある人気の観光地。山頂へは長崎ロープウェイで手軽に登ることが可能です。
石垣島,コバルトブルーの海や白い砂浜を楽しめる,沖縄県で、沖縄本島と西表島に次いで3番目に大きな島である「石垣島」。パイナップルやサトウキビ栽培の盛んな史跡と景勝地に富む島で、八重山観光の拠点です。市街地には土産物屋や飲食店が多くあるため沖縄文化に触れることができる一方、郊外では亜熱帯の木々やコバルトブルーの海や白い砂浜を楽しめるのが魅力です。
太宰府天満宮,全国12000社の総本宮。園内に6000本の梅の木,平安時代に学者・政治家・詩人と多方面で活躍し、学業の神様といわれる菅原道真が祀られています。全国12000社の総本宮で、学業成就のお守りや道真公を慕って飛んできたとされる飛梅をモチーフにしたお札などが人気。園内の6000本にも及ぶ梅の木は、1月下旬から3月上旬が見ごろです。
阿智村,環境省から認定された日本一美しい星空を見ることができる,南倉州・岐阜県との県境に位置する阿智村は、美肌の湯昼神温泉郷を核とした人口約6000人の小さな村。環境省から認定された日本一美しい星空や、1万本の花桃・清内路の伝統花火など地域資源が豊富です。東山道など万葉の歴史がある奥深い地域でもあります。
宮古島,格別な時間を過ごせる、一度は訪れたい沖縄の離島,東平安名崎・池間大橋などの景勝地を有し、コバルトブルーの海と白い砂浜のコントラストが美しい島。沖縄本島から南西約300kmに位置しています。また宮古島の北方には日本最大級のサンゴ礁群「八重干瀬」があり、ダイビングやシュノーケルスポットとして人気です。
小浜島,海遊びを思う存分楽しめる！朝ドラの舞台になった景色も,シュノーケリングなどマリンレジャーを楽しめる瑠璃色の海が広がっている島です。連続テレビ小説のちゅらさんでも使われた、両側にさとうきび畑が広がる1本道のシュガーロードも圧巻。美しい景色を楽しみながら、贅沢な時間を過ごせるリゾートホテルもありますよ。
東京スカイツリー,東京の街を一望できる。夜のライティングが美しい,日本古来の技と最新技術に支えられた、新しい日本のシンボル。地上350mと450mの2つの展望フロアからは、都心部や東京湾まで一望でき、晴れた日には富士山まで見渡せることもあります。夜のライティングも見どころです。
父母ヶ浜,南米のウユニ塩湖のような写真を撮れる話題の海水浴場,約1km続く穏やかな遠浅の海水浴場です。風のない干潮時には水面に空や人物など周辺の景色が映り込み、南米のウユニ塩湖のような写真を撮れるとSNSで話題に。今や香川県でも有数の人気観光スポットとなっています。
海遊館,太平洋の生きものを近くに体感、見たり触ったりできる,太平洋に生息する数多くの生きものを水槽で展示している水族館です。新体感エリアでは、温度・音・ニオイなどを感じるほど近くで、生きものを見たり触ったりできるのが魅力。夕方5時以降は月明かりのような光と音で、昼とはまったく違う幻想的な世界を楽しめます。
桜山公園,ソメイヨシノや冬桜が咲き誇る広大な園地,国指定名勝及び天然記念物の冬桜がシンボルの桜山公園。見頃は11月中旬～12月上旬で、その間は夜間に園内のライトアップもされるのでおすすめです。47haの広大な園内には、春のソメイヨシノ・ロウバイ・梅・ツバキ・ツツジなどの花々が咲き、四季を通じて楽しめますよ。
みろくの里,1年を通じて家族で楽しめるレジャー施設,広大な丘陵地にある総合レジャー施設です。敷地内の遊園地エリアや、実物大の恐竜42体が潜むダイナソーパークは、子どもも大人も新しい楽しみかたを発見できるアトラクション。夏はレジャープール・冬はイルミネーションなど、1年を通じて家族で楽しめますよ。
マリンワールド海の中道,子連れにもやさしい水族館。多彩なイベントも盛りだくさん,九州の海をテーマに、約350種類・3万匹の海の生き物を展示している、大人も楽しめる水族館です。授乳室やベビーカー貸出など、小さな子ども連れにもうれしい施設やサービスが整っているのも魅力のひとつ。人気の生き物たちやショーなど、多彩なイベントもたくさん開催しています。
白い恋人パーク,季節に合わせたイベント開催。製造ラインを見学できる,白い恋人の製造ラインが見学できる、見て・食べて・楽しむことができるお菓子のテーマパークです。約14cmのハート型の白い恋人を作る、お菓子作り体験工房などがあります。また、季節に合わせたイベントも開催されていますよ。
通天閣,大阪のシンボル。幸運の神・ビリケンさんが迎えてくれる,大阪の観光スポット新世界にある、言わずと知れた大阪のランドマークです。5階には、足の裏をなでると幸運が訪れるというビリケン像や七福神像が置かれています。ほかにも展望フロアやカフェなどがあり多彩な過ごし方が可能です。
軍艦島,朽ちゆく建物が並ぶ異世界の無人島,"かつての炭鉱の繁栄を伝える周囲約1.2kmの端島。通称軍艦島は、長崎港から船で約40分のところにあります。良質な石炭が採れる炭鉱として知られ、最盛期の1960年には島に約5,300人もの人が住み、世界一の人口密度と言われており、現在では多くの人が上陸ツアーに参加して訪れています。"
東京サマーランド,全天候型プールで雨でも遊べるレジャーパーク,東京都あきる野市にある、関東最大級のレジャーパークです。日本最大級の流れるプールをはじめ、ウォータースライダーやさまざまなアトラクション、遊園地もあり、世代を問わず楽しめるのが魅力。全天候型プールがあり、雨でも遊べます。
マザー牧場,動物との触れ合い・季節の花畑や味覚狩り体験・牧場グルメを堪能,天気のよい日であれば富士山や東京湾が見える、絶景の観光牧場です。ヤギ・ヒツジ・アルパカなど動物たちとの触れ合いから、季節の花畑・味覚狩りまで体験可能。お腹がすいたらジンギスカンやミルクラーメンといった、牧場ならではのグルメも楽しめますよ。
ファーム富田,ラベンダーなどが広がるファーム、売店には多数のお土産品あり,ラベンダーをはじめ、ポピー・コスモス・カスミ草などが7・8月に広がるファームです。園内には休憩所のポプリの舎・香水の調合を見学できる香水の舎・花人の舎・蒸留の舎・ポピーの舎などがあります。売店にはお土産品も多くありますよ。
ナガシマスパーランド,総アトラクション数は60種類、小さな子どもも楽しめる遊園地,木曽川・長良川の河口に位置する総合レジャーランドです。総アトラクション数は60種類あり、そのうちローラーコースターの数は12種類あります。小さな子どもでも楽しめる「キッズタウン」もあり、世代を問わず楽しめるのも特徴です。
横浜・八景島シーパラダイス,4つの水族館を見るだけで半日、ホテルまでそろったレジャー施設,4つの水族館とさまざまなアトラクション、バラエティ豊かなショッピングストア・レストラン・ホテルがそろった複合型海洋レジャー施設です。4つの水族館を見てまわるだけで半日かかります。季節ごとのイベントも充実していますよ。
沖縄美ら海水族館,沖縄の海を再現、海の生き物たちの雄大な世界,国営沖縄記念公園内に位置する沖縄の海を再現した水族館です。ジンベエザメやナンヨウマンタなどをはじめとした、約710種もの沖縄の海の生き物たちの雄大な世界が広がっています。何度訪れても新しい出会いと発見がありますよ。
旭山動物園,約半分が北方圏の動物、「行動展示」で知られる動物園,単に動物の姿形を見せる「形態展示」ではなく、動物の持つ能力や行動などを見せる「行動展示」で一躍全国に知られるようになった旭川市旭山動物園。飼育している動物のうち約半分が北方圏の動物です。ほっきょくぐま館ではホッキョクグマを間近で見ることができ、カプセルから覗くこともできますよ。
大通公園,四季折々の美しい植物やイベント。長さ約1.5kmの公園,"大通公園は札幌市の中心部に位置し、大通西1丁目から大通西12丁目までの長さ約1.5km、面積約7.8haの特殊公園です。美しい花壇・芝生、約90種4,700本におよぶ樹木が見られます。四季折々の美しい植物やイベントなどにより、1年を通して多くの観光客、市民に親しまれている公園です。"
四季彩の丘,美瑛を象徴するガーデン、撮影スポットとしても人気,広大な畑をはじめ、北海道らしい体験・ペンションがそろった、美瑛を象徴するエンターテインメント・ガーデンです。夏のグリーンシーズンは色鮮やかな花畑や雄大な景色を、冬のウィンターシーズンは雪化粧した丘で迫力満点のアクティビティを楽しめます。撮影スポットとしても人気です。
白い恋人パーク,季節に合わせたイベント開催。製造ラインを見学できる,白い恋人の製造ラインが見学できる、見て・食べて・楽しむことができるお菓子のテーマパークです。約14cmのハート型の白い恋人を作る、お菓子作り体験工房などがあります。また、季節に合わせたイベントも開催されていますよ。
龍泉洞,一度見たら忘れられない日本三大鍾乳洞のひとつ,日本三大鍾乳洞のひとつとされ、また洞内に棲むコウモリとともに国の天然記念物に指定されています。悠久のときが生んだ芸術品のような鍾乳石や、世界有数の透明度を誇る目の覚めるような青い地底湖は、一度見れば忘れられなくなるような絶景。現在も調査が継続中で、未知の部分もまだまだ多い場所です。
海遊館,太平洋の生きものを近くに体感、見たり触ったりできる,太平洋に生息する数多くの生きものを水槽で展示している水族館です。新体感エリアでは、温度・音・ニオイなどを感じるほど近くで、生きものを見たり触ったりできるのが魅力。夕方5時以降は月明かりのような光と音で、昼とはまったく違う幻想的な世界を楽しめます。
スパリゾートハワイアンズ,ポリネシアンショーは必見、温泉を毎分3.5tも使用,湧出量の豊富な温泉を毎分3.5tも使った、福島県いわき市にあるテーマパークです。ホテルハワイアンズ・モノリスタワー・ウイルポート・マウナヴィレッジの4つの宿泊施設があり、魅力いっぱいの6つのテーマパークがあります。フラガール・ファイヤーナイフダンサーのポリネシアンショーは必見です。
嵐山モンキーパークいわたやま,自然いっぱいの園内で暮らす野生のニホンザル,嵐山モンキーパークいわたやまには、約120頭のニホンザルが野生の状態で暮らしています。自然いっぱいの園内で、おサルたちが1年を通して四季折々の姿を見せてくれるのが魅力。標高160mの場所にある休憩所からは、京都市内を一望できます。
東京ディズニーリゾート,ディズニーのキャラクターが出迎え、日本を代表するテーマパーク,1983年の開園以来、数え切れない人たちに夢を与えてきた日本を代表するテーマパーク。有料サービスのディズニー・プレミアアクセスなら、人気のアトラクションをスムーズに体験することができます。ディズニーの人気キャラクターたちが訪れる人を出迎えてくれますよ。
ひまわり村,人気のひまわり迷路には展望台、35万本のひまわりが咲きそろう,ふるさとの水と土へのいつくしみと、干拓地農業への理解と親しみを深めてもらうことを目的に、1995年に開村しました。毎年7月下旬から8月上旬にかけて約2.3haの村内には35万本のひまわりが咲きそろいます。人気のひまわり迷路には展望台もあり、壮大なひまわり村を一望することができますよ。
東京ジョイポリス,屋内型で天候を気にすることなく遊べるのが魅力,東京お台場にある、屋内型のテーマパークです。室内なので天候を気にすることなく、快適に遊ぶことができるのがうれしいポイント。館内には、絶叫系や館内回遊型のアトラクションが20機種以上あり、大人から子どもまで1日中楽しめます。
まかいの牧場,動物たちとふれあい、酪農・食・自然を満喫できる,日本有数の酪農地帯、富士山麓・朝霧高原にある「まかいの牧場」です。かわいい動物たちと触れ合うことができるので、ファミリーに人気の観光スポット。アスレチックやグランピングのほか食の体験工房などがあり、酪農・食・自然を満喫できますよ。
水晶浜海水浴場,パウダーサンドが魅力、水晶のように透明度の高い海,砂粒の細かい白い砂浜と、水晶のように透明度の高い海が特徴の海水浴場です。砂浜は歩くとキュッキュッと音がなり、肌についてもすぐに落ちるパウダーサンドが魅力。ウィンドサーフィンなどのマリンスポーツも盛んに行われており、トイレ・シャワー・更衣室なども完備されています。
鍋田浜海水浴場,磯遊びにもぴったり。波が少ない海水浴専用のビーチ,下田市街より最も近くにある、海水浴専用のビーチ。上水質のきれいな海は入江なので波が少なく、小規模のビーチとなっており磯遊びにもぴったりです。穴場の海水浴場として地元の家族連れを中心に利用されています。
京都鉄道博物館,年齢問わずに楽しめる、見る・触る・体験ができる,「地域と歩む鉄道文化拠点」をコンセプトにした鉄道博物館です。黎明期から現代に至るまでの鉄道の歴史も学ぶことができ、年齢問わずに楽しめます。鉄道の展示のほか、資料なども展示されており、見る・触る・体験することができますよ。
山梨県立フラワーセンター ハイジの村,アルプスの少女ハイジを忠実に再現、農村地帯をイメージした園内,1974年に放送されたアニメ「アルプスの少女ハイジ」の世界を忠実に再現したハイジの村です。ヨーロッパの農村地帯をイメージした園内には、高さ15mの展望台が建ち、天気の良い日は富士山や八ヶ岳・南アルプスが一望できます。スイスの伝統的な家庭料理「チーズフォンデュ」も食べられますよ。
ユニバーサル・スタジオ・ジャパン,ミニオンやマリオのアトラクションが楽しめる大型テーマパーク,関西にある大型テーマパークです。ミニオンズ・スパイダーマン・スーパーマリオなど、有名キャラクターたちのアトラクションやイベントを楽しめます。公式アプリでは、アトラクションの待ち時間・レストラン・近くの化粧室などを検索でき、バタバタしやすい子ども連れの家族旅行でも便利に使えますよ。
びわ湖テラス,標高が高い山の上にある琵琶湖を一望できるスポット,標高1100mに位置する、眺望豊かなびわ湖テラス。ロープウェイでの空中散歩を楽しみ、山頂に降り立つと圧倒的なスケールと迫力を誇る琵琶湖を、北から南まで一望できます。息をのむような景色のなかで、特別なひとときを過ごせますよ。
富津海岸潮干狩場,3～8月まで潮干狩りを楽しめる。周辺には海水浴場も,東京湾アクアラインを渡って約20分、千葉県立富津公園に隣接した遠浅の海岸で3～8月まで潮干狩りを楽しめます。潮干狩り場の目の前には、約1200台の無料駐車場・足洗い場・貝洗い場・砂出し用の海水・休憩所（有料）・コインシャワー（有料）など、施設も充実。周辺には富津公園や海水浴場もあります。
キッズプラザ大阪,遊びながら学べる。子どものための博物館,キッズプラザ大阪は、日本ではじめての本格的な子どものための博物館です。遊びながら学べる展示物やものづくり体験をできるワークショップなど、楽しいプログラムがいっぱい。授乳室やおもらしシャワーなど、小さな子どものための設備も充実しているので、家族みんなで1日中楽しめます。
京都市動物園,ここでしか見られない展示が多数。歴史のある動物園,明治36年に開園した日本で2番目に歴史のある動物園です。園内にはアジアゾウを群れで飼育するゾウの森や、タッチパネルを使って勉強をするゴリラの姿が見られるゴリラのお家など、ここでしか見られない展示が多数あります。動物に直接触れられるふれあい広場おとぎの国では、楽しみながら命の尊さを学べますよ。
那須りんどう湖ファミリー牧場,レジャーをとことん満喫。動物たちと触れ合いができる牧場,アルパカをはじめとした動物たちとの触れ合いができる牧場です。ワイヤーにぶら下がって湖上を滑空するジップラインや遊覧船などのアトラクションのほか、手作りバター体験などの体験プログラムも楽しめるのが魅力。高原のすがすがしい空気のなかでレジャーをとことん満喫できます。
おきなわワールド,自然・文化・歴史を楽しめる。ハブとマングースのショーも必見,沖縄の自然・文化・歴史を楽しめる広大な観光テーマパークです。天然記念物の玉泉洞や、国の有形文化財である琉球王国城下町など、貴重な場所に立ち入りできます。ほかではなかなか見られないハブとマングースのショーも必見です。
淡路ファームパーク イングランドの丘,イギリスの湖水地方がテーマ。動物やたくさんの自然に癒される,イングランドの丘は、淡路島の中央部にある、イギリスの湖水地方をテーマにした農業公園です。阪神甲子園球場約14個分の広大な敷地内は、動物が暮らすグリーンヒルエリアと、湖が広がるイングランドエリアに分かれています。かわいい動物やたくさんの自然に癒されながら、1日ゆっくり遊べますよ。
群馬県立自然史博物館,楽しみながら学べる、国内屈指の博物館,貴重な恐竜の標本を展示する、国内屈指の博物館です。地球の生い立ちと、自然と生命の進化の歴史や群馬県の自然と環境について楽しみながら学べます。常設展示室・天体ドーム・情報コーナー・学習室・実験室など多くの施設を完備していますよ。
ひまわりの丘公園,花のない季節でも大型複合遊具などで楽しめる,夏には40万本のひまわりが、秋には400万本のコスモスが花の絨毯のように咲き誇ります。園内のわんぱく広場には、子どもに人気の大型複合遊具や水遊びが楽しめる遊べる噴水もあります。地元野菜の直売所や物産館などもあり、花のない季節でも家族で楽しめますよ。
マクセル アクアパーク品川,多彩な演出で生きものの魅力を伝える都市型水族館,"品川駅から徒歩約2分、多彩な演出で生きものの魅力を伝える、TOKYO最先端エンターテインメント。デジタルテクノロジーを駆使した空間で、海の世界の魅力を届ける都市型水族館です。季節ごとの表情を捉え、さらに昼・夜でも可変していく多彩な演出で、約350種20,000点の生きものたちを彩ります。"
国営ひたち海浜公園,彩り豊な花々を四季を通じて楽しめる、魅力いっぱいの公園,茨城県ひたちなか市の太平洋岸にあり、彩り豊な花々を四季を通じて楽しめる公園です。海抜100mからの眺望を楽しめる大観覧車をはじめ、ジェットコースターなど多彩なアトラクションがそろう遊園地。そのほか、林間アスレチック広場やバーベキュー広場など、遊び方は十人十色です。
帝釈峡水辺公園,無料の駐車場あり。川辺でマス釣りなどが楽しめる,三方を岩山に囲まれた狭い谷合にある公園で、岩山から湧き出る天然水と桜やカエデなどの木々に覆われた涼しい川辺が魅力です。時期によって、マス釣りや川遊びなどのイベントも行っています。無料の駐車場が設けられているのもポイントです。
魚津ヶ崎公園,キャンプ・磯釣りなどのレジャーが楽しめて大自然を満喫,西海国立公園内に位置し、遣唐使船寄泊地として歴史に名を記す岬にある、大自然を満喫できるレジャー公園です。キャンプ場が併設されているほか、磯釣りもできるなどさまざまなレジャーも楽しめるのが魅力。大パノラマで数々の島と海を一望できます。
安曇野ちひろ公園 トットちゃん広場,窓ぎわトットちゃんの世界をのぞける、緑豊かな公園,安曇野ちひろ美術館の周囲に広がる、北アルプスの山並みを背にした緑豊かな公園です。園内では、トットちゃん広場で窓ぎわのトットちゃんの世界をのぞいてみたり、体験交流館では縁側でほっと一息ついたりが可能。村のお母さんと一緒に郷土食づくりもできます。
くじら博物館,迫力あるクジラショー。珍しいくじら専門の博物館,世界でも珍しいくじら専門の博物館です。1～3階までを吹き抜けにした中央に、体長15mものセミクジラの実物大模型と古式補鯨船の模型をつり下げ、その周囲の廻廊式展示室にはくじらのからだ各部のホルマリン漬や剥製があります。イルカショー・クジラショーの迫力あるパフォーマンスは必見です。
ちちぶキッズパーク,晴天時は秩父連山が望める見晴らしのよい屋内外型施設,子どもが楽しめる、たくさんの遊具がそろう屋内外型施設です。室内には幼児向けのボールプールや迷路のようなジャングルジムがあり、さまざまな複合遊具がそろっています。駐車場が設けられているほか、晴天時には秩父連山が望める見晴らしのよさも魅力です。
月見ヶ丘海浜公園,アウトドアやバーベキューを楽しめる。お月見スポットも,園内のお月見ビレッジに4タイプ全10棟のコテージがあり、いずれもバス・トイレほか、付帯設備が整っています。デイキャンプエリアでは、バーベキューを楽しむことが可能。また、古来より月の名所として知られてきた場所にあり、公園内には4か所のお月見スポットもありますよ。
よこはま動物園ズーラシア,希少動物を数多く飼育。楽しく学べるイベントもある動物園,生命の共生・自然との調和をメインテーマに、広大な敷地に世界の希少動物を数多く飼育している動物園です。生息環境展示や世界の気候帯・地域別にゾーニングすることにより、世界旅行ができる動物園として植物や自然環境について楽しく学べます。動物の生態が楽しく学べるイベントもありますよ。
四万十川,全長196km、観光用の遊覧船もある高知県の大河,標高1336mの不入山の東斜面が水源、全長196kmの高知県の大河です。名前の由来は、文字どおり四万余りの支流をもっているという説や、アイヌ語のシ・マムタからきたという説があります。地元の人々に昔から愛され続けており、観光遊覧船も出ていますよ。
辻堂海浜公園ジャンボプール,多様なプールを楽しめる。バリアフリー対応も充実,県立辻堂海浜公園内にある夏季限定営業のプールです。流れるプール・ウォータースライダー・波の出るプール・幼児プール・滝のプール・くじらの海と複数のプールがあります。多目的トイレや車椅子昇降リフトを完備しているほか、水に入れる専用の車椅子の貸し出しを行うなど、バリアフリー対応が充実しているのも魅力です。
天草イルカウォッチング,天草で有名なイルカウォッチング。雲仙普賢岳も楽しめる,熊本県天草市五和町にある観光乗船場でイルカウォッチングを楽しめます。すぐ目の前は島原半島で、日本でも有数の活火山・雲仙普賢岳が時折煙をあげている景色を望むことが可能。今にも手の届きそうな船のすぐ横をジャンプしたり、船と一緒に泳ぐ姿を目の当たりにしたりしたら、きっとよい思い出になるでしょう。
モビリティリゾートもてぎ,グランピングやホテルも併設。さまざまな遊びがつまった施設,キャンプ・アトラクション・モータースポーツなど、さまざまな遊びがつまった施設です。子どもから大人まで楽しめ、季節ごとに行われるイベントも豊富。園内にはグランピングやホテルも併設しているので、泊まりでも楽しめます。
海洋文化館,見どころが満載。先人たちの知恵と勇気を豊富な展示で紹介,かつて太平洋の大海原を渡った先人たちの知恵と勇気を、豊富な展示で紹介しています。大型カヌーなど約750点の貴重な展示資料や、太平洋を描いた床地図と壁面を利用した大型映像など、見どころが満載です。プラネタリウムでは、最大恒星数1億4千万個に及ぶ美しい星空をドームスクリーンいっぱいに表現します。
ふなばしアンデルセン公園,天候に左右されずに楽しめる。草花が常時咲き誇る公園,チューリップやパンジーなどの草花が常時咲き誇っている施設です。園内には1日では周りきれないほどの数のアスレチックや遊具を設置しているうえ、雨の日のおすすめコースもあり、天候に左右されずに楽しめるのが魅力。子ども美術館では、さまざまな展示やワークショップを楽しめます。
トンデンファーム,大地の恵を大切に、大自然のなかで動物たちとのふれあいも体験できる,トンデンファームでは、大地の恵みを大切にしながら、さまざまな製品づくりに取り組んでいます。機械にできるだけ頼らず、衛生管理にも十分に配慮。1つ1つに愛情を込めて丁寧に仕上げているため、素材の旨みがしっかりと凝縮された味わいが特徴です。大自然のなかで、動物たちとのふれあいやエサやりを楽しめる体験牧場もありますよ。
那須どうぶつ王国,動物に触れ合えるのが魅力。屋根つきで雨の日でも見学できる,屋根付きの通路でほぼすべての屋内施設がつながる王国タウンは、雨の日でも見学できます。那須の大自然に広がる王国ファームは、雄大な風景のなか、アルパカ・馬・ヒツジなどの動物に触れ合えるのが魅力。スカイスタジアム・イベント広場では、動物たちのすばらしいパフォーマンスが見れますよ。
ひらかたパーク,40種類のアトラクションが魅力。世代を問わず楽しめる,ほのぼの系マシンから絶叫マシンまで、約40種類のアトラクションがそろうテーマパークです。美しい英国風庭園の広がるローズガーデンや、動物と出会える屋内型動物園わくわく動物村もあり、世代を問わず楽しめます。観覧車や激流下り、ムービーシアターなど雨の日でも遊べるのが魅力です。
札幌市,北日本最大の繁華街・すすきのをもつ美食の街,北海道各地の新鮮食材が集まる食の街・札幌市。海鮮系・ラーメン・ジンギスカン・スープカレーなど絶品料理がたくさん揃っています。食べるだけでなく、夏も冬も北海道の大自然を満喫できるノースサファリサッポロや、市内中心部から近い距離にありながら自然に囲まれた札幌市円山動物園などが見どころです。
鳴子峡,2.5km続く断崖絶壁。遊歩道もあり,大谷川が刻んだV字渓谷で、高さ約100mほどの断崖絶壁が2.5km以上続いています。赤や黄色に染まる美しい紅葉は、毎年10月下旬から11月初旬が見頃。鳴子峡遊歩道は中山平側入口から回顧橋までと、鳴子側入口から約230m地点までとなっています。
兼六園,国の特別名勝指定。冬は演奏やライトアップを楽しめる,石川県金沢市にある日本庭園です。17世紀中期、加賀藩により金沢城の外郭に造営された藩庭が起源といわれ、国の特別名勝にも指定。冬には、特別演奏やライトアップイベントが行われるなど、観て・聴いて楽しいイベントとなっています。
清水寺,文化財に登録された歴史ある寺院。四季の移ろいが美しい,"創建から約1,250年の歴史を持ち、古都京都の文化財にも登録されている寺院です。高さ約30mを誇る三重塔や、音羽山の断崖に建つ本堂など、境内のさまざまな場所で日本古来の歴史を感じられます。春の桜・夏の新緑・秋の紅葉をはじめとした、四季の移ろいが見どころですよ。"
ユニバーサル・スタジオ・ジャパン,感動と興奮あふれるパーク。ハリウッドの世界で絶叫体験,オープン初年度に1100万以上のゲストが来場したことで話題を集めたテーマパーク。ハリウッドの超大作映画をテーマにしたライドやショー、季節ごとのイベントなどエンターテイメントの数々があります。異なる表情を持つさまざまなエリアは別世界です。
銀山温泉,昔ながらの景観、ノスタルジックな温泉街,大正浪漫の郷愁を感じるノスタルジックな温泉街です。温泉で疲れを癒したら自然の中でのんびり過ごすのも銀山温泉の楽しみ方。大正末期から昭和初期に建てられた洋風木造多層の旅館が銀山川の両岸に沿って軒を並べ、昔ながらの独特な景観を味わうことができます。
国営ひたち海浜公園,彩り豊な花々を四季を通じて楽しめる、魅力いっぱいの公園,茨城県ひたちなか市の太平洋岸にあり、彩り豊な花々を四季を通じて楽しめる公園です。海抜100mからの眺望を楽しめる大観覧車をはじめ、ジェットコースターなど多彩なアトラクションがそろう遊園地。そのほか、林間アスレチック広場やバーベキュー広場など、遊び方は十人十色です。
博多,寺社巡りやショッピング施設が豊富。ラーメン店も多数,博多駅周辺には博多阪急やKITTE博多などのショッピングが楽しめる施設が立ち並びます。駅から少し離れると、楽水園・東長寺・櫛田神社といった歴史を感じられる建物もありますよ。博多グルメとして有名なラーメン店も多く、濃厚なとんこつのスープを堪能できるでしょう。
五色沼,色とりどりの湖沼群に映る紅葉が美しい,福島県にある、水蒸気爆発による岩雪崩で生成された数十ものの湖沼群です。文字通り、ターコイズブルーやエメラルドブルーなど、沼によってさまざまな色に見えるのが特徴。10月下旬になると、美しい紅葉を映す沼も鑑賞できます。
国営昭和記念公園,どの季節も美しく自然を満喫できる国営公園,立川市と昭島市にまたがる広大な公園で、どの季節も美しく自然を満喫できるのが魅力。さまざまなイベントやバーベキュー、また花火大会が開催されたりと幅広い楽しみ方ができます。ドッグランやレインボープールなど、遊べる施設が充実しているのもポイントです。
東京ディズニーリゾート,ディズニーのキャラクターが出迎え、日本を代表するテーマパーク,1983年の開園以来、数え切れない人たちに夢を与えてきた日本を代表するテーマパーク。有料サービスのディズニー・プレミアアクセスなら、人気のアトラクションをスムーズに体験することができます。ディズニーの人気キャラクターたちが訪れる人を出迎えてくれますよ。
あしかがフラワーパーク,春が藤棚、冬はイルミネーションが見どころ,栃木県にある、色とりどりの花が咲くフラワーパーク。樹齢160年におよぶ600畳敷の大藤棚3面と世界でも珍しい八重の大藤棚・庭木仕立ての藤・80ｍ続く白藤のトンネルを見ることができます。冬季は藤色の花房をイメージした電飾が咲き広がるストーリーが演出されているイルミネーションも見どころです。
明治神宮外苑 いちょう並木,黄金色のトンネル。おしゃれで都会的なスポット,青山通りから明治神宮外苑まで続き、映画・ドラマにも数多く登場する並木道です。植えられている木は146本で、いちょうが色づく秋になると黄金色のトンネルとなってとても美しい景色を楽しめます。青山という場所柄もあり、都会的でおしゃれな雰囲気が人気のスポットです。
瑠璃光院,歴史を感じる自然と建造物が魅力。古くからの寺宝も見られる,春夏秋冬の豊かな自然と数寄屋造りの建物、名庭がおりなす風景を楽しめます。大きな鯉が出迎える玄関や格調高い落ち着いた書院、三条実美公命名の由緒ある茶室など見どころ満載。毎年数点ずつ公開される、数百年の歴史を有する寺宝の数々も魅力的です。
宮古島・伊良部島,宮古島から伊良部大橋で行ける。絵画のような風景,伊良部島は宮古諸島の中で2番目に大きな島です。2015年1月に伊良部大橋が開通し、宮古島からもアクセスしやすくなっています。佐良浜漁港から続く斜面には、迷路のような細い路地の中にコンクリート造の古い民家が密集しており、外国の漁師町を描いた絵画を思わせるような風景です。
益子秋の陶器市,日用品から伝統的な益子焼まで店舗・テントに並ぶ,1966年（昭和41年）からはじまり、例年春のゴールデンウィークと秋の11月3日前後に開催されています。テントでは新進作家や窯元の職人達と直接会話を楽しむことができるのが特徴です。販売店約50店舗のほか約600のテントが立ち並び、伝統的な益子焼からカップ・皿などの日用品や美術品まで販売しています。
秋田犬ステーション,土日に秋田犬に会える。里親募集も行う施設,秋田駅からほど近い場所にある、秋田犬とのふれあい施設です。飼育放棄などを理由に保護された秋田犬のトレーニングの場としての役割を担っているほか、飼育方法の相談を受けつけたり里親の募集が行われています。毎週土日に秋田犬に会うことができ、触れることはできませんが写真撮影は可能です。
石垣島,亜熱帯の木々やコバルトブルーの海を楽しめる,沖縄県で沖縄本島、西表島に次いで3番目に大きな島「石垣島」。八重山諸島の経済、観光、交通の中心地で、市街地には土産物屋や飲食店が多くあります。その一方で、郊外では亜熱帯の木々やコバルトブルーの海、白い砂浜を楽しめるのが魅力ですね。
